address,status,street,borough,zip,cb,cwz,bbl
"311 Greenwich  Street,MANHATTAN 10013",OK,311 GREENWICH STREET,MANHATTAN,10013,101,MN1A,40.716745,,-74.010862,,1001407502
"85 Adams Street,BROOKLYN 11201",OK,85 ADAMS STREET,BROOKLYN,11201,302,BK2,40.701816,,-73.988596,,3000527501
"61-30 GRAND AVENUE,QUEENS 11378",OK,61-30 GRAND AVENUE,QUEENS,11378,405,QN2,40.721989,,-73.904008,,4027130021
"260 EASTERN PARKWAY,BROOKLYN 11225",OK,260 EASTERN PARKWAY,BROOKLYN,11225,309,BK3,40.671145,,-73.960357,,3011850001
"258 WEST 26TH STREET,MANHATTAN 10001",OK,258 WEST   26 STREET,MANHATTAN,10001,104,MN5,40.746743,,-73.996023,,1007757502
"2571 E 17TH ST,BROOKLYN 11235",OK,2571 EAST   17 STREET,BROOKLYN,11235,315,BK5,40.588708,,-73.952543,,3074380049
"540 West 53 Street,MANHATTAN 10019",OK,540 WEST   53 STREET,MANHATTAN,10019,104,MN5,40.7673,,-73.992195,,1010817503
"2901 White Plains Road,BRONX 10467",OK,2901 WHITE PLAINS ROAD,BRONX,10467,211,BX2,40.868024,,-73.867283,,2045420001
"1271 EAST   35 STREET,BROOKLYN 11210",OK,1271 EAST   35 STREET,BROOKLYN,11210,318,BK3,40.623232,,-73.941354,,3076350011
"532 WEST  215 STREET,MANHATTAN 10034",OK,532 WEST  215 STREET,MANHATTAN,10034,112,MN7,40.87044,,-73.917342,,1022437501
"1180 East 214 Street,BRONX 10469",OK,1180 EAST  214 STREET,BRONX,10469,212,BX2,40.876006,,-73.851523,,2047080009
"609 JACKSON AVE,BRONX 10455",OK,609 JACKSON AVENUE,BRONX,10455,201,BX1,40.814855,,-73.908502,,2026230211
"331 EAST  150 STREET,BRONX 10451",OK,331 EAST  150 STREET,BRONX,10451,201,BX1,40.817477,,-73.9202,,2024100056
"695 PARK AVENUE,MANHATTAN 10065",OK,695 PARK AVENUE,MANHATTAN,10065,108,MN6,40.768973,,-73.965367,,1014030001
"76 LORRAINE STREET,BROOKLYN 11231",OK,76 LORRAINE STREET,BROOKLYN,11231,306,BK2,40.674385,,-74.006886,,3005800016
