year,borough,community_board,complaint_type,descriptors,status_cal,count,avg,avg,avg
2010,BRONX,205,Missed Collection,1C Uncollected Xmas Trees,Closed,1,,,0.00000000000000000000
2010,BRONX,205,Missed Collection,1R Missed Recycling-All Materials,Closed,4,,,0.25000000000000000000
2010,BRONX,205,Missed Collection,1RB Missed Recycling - M/G/Pl,Closed,2,,,1.00000000000000000000
2010,BRONX,205,Missed Collection,2 Bulk-Missed Collection,Closed,2,,,0.50000000000000000000
2010,BRONX,205,Other Enforcement,E10 Obstruction (Street/Sidewalk),Closed,7,,,1.2857142857142857
2010,BRONX,205,Other Enforcement,E2A Storage Of Receptacles,Closed,13,,,5.2307692307692308
2010,BRONX,205,Other Enforcement,E6 Commercial Waste Disposal,Closed,5,,,11.0000000000000000
2010,BRONX,205,Other Enforcement,ECR Commercial Routing Sticker,Closed,7,,,4.2857142857142857
2010,BRONX,205,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Closed,4,,,0.75000000000000000000
2010,BRONX,205,Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,Closed,1,,,15.0000000000000000
2010,BRONX,205,Recycling Enforcement,ER2 Resident Recyc. (Tenant),Closed,5,,,5.4000000000000000
2010,BRONX,205,Sanitation Condition,12 Dead Animals,Closed,50,,,0.50000000000000000000
2010,BRONX,205,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Closed,87,,,0.85057471264367816092
2010,BRONX,205,Sanitation Condition,22 Weeds,Closed,1,,,2.0000000000000000
2010,BRONX,205,snow,15I Street Condition Ice-Non Storm,Closed,5,,,0.60000000000000000000
2010,BRONX,205,snow,15S Re-Plow/Spread/Ice-Snow Cond.,Closed,14,,,0.28571428571428571429
2010,BRONX,205,snow,E9 Snow / Icy Sidewalk,Closed,14,,,6.0714285714285714
2010,BRONX,205,Sweeping Complaint,3 Sweeping/Missed-Inadequate,Closed,4,,,0.50000000000000000000
2010,BRONX,205,Vacant Lot,8 Request to Clean Vacant Lot,Closed,16,,,14.1250000000000000
