year,borough,complaint_type,status_cal,count,avg,avg,avg
2012,QUEENS,Graffiti,Closed,2278,,,57.8178226514486392
2012,QUEENS,Graffiti,Open,611,3574.4533551554828151,3484.9900000000000000,
2012,QUEENS,Litter Basket Complaint,Closed,538,,,1.8624535315985130
2012,QUEENS,Missed Collection,Closed,4687,,,1.3417964582888841
2012,QUEENS,Other Enforcement,Closed,1090,,,3.7935779816513761
2012,QUEENS,Overflowing Litter Baskets,Closed,330,,,1.1242424242424242
2012,QUEENS,Recycling Enforcement,Closed,192,,,6.5572916666666667
2012,QUEENS,Sanitation Condition,Closed,7709,,,1.4188610714748995
2012,QUEENS,snow,Closed,168,,,5.9821428571428571
2012,QUEENS,Standpipe - Mechanical,Closed,2,,,6.0000000000000000
2012,QUEENS,Sweeping Complaint,Closed,295,,,1.9898305084745763
2012,QUEENS,Vacant Lot,Closed,562,,,30.3042704626334520
2012,QUEENS,Vacant Lot,Open,1,3629.0000000000000000,,
2012,STATEN ISLAND,Adopt-A-Basket,Closed,2,,,4.5000000000000000
2012,STATEN ISLAND,Collection Truck Noise,Closed,5,,,1.6000000000000000
2012,STATEN ISLAND,Derelict Bicycle,Closed,2,,,1.00000000000000000000
2012,STATEN ISLAND,Derelict Vehicles,Closed,671,,,2.8002980625931446
2012,STATEN ISLAND,Dirty Conditions,Closed,2187,,,3.0772748056698674
2012,STATEN ISLAND,Graffiti,Closed,264,,,92.8674242424242424
2012,STATEN ISLAND,Graffiti,Open,90,3596.3666666666666667,3546.0333333333333333,
2012,STATEN ISLAND,Litter Basket Complaint,Closed,195,,,1.9948717948717949
2012,STATEN ISLAND,Missed Collection,Closed,2903,,,1.9004478126076473
2012,STATEN ISLAND,Other Enforcement,Closed,360,,,2.7416666666666667
2012,STATEN ISLAND,Overflowing Litter Baskets,Closed,108,,,1.4444444444444444
2012,STATEN ISLAND,Recycling Enforcement,Closed,56,,,3.3571428571428571
2012,STATEN ISLAND,Sanitation Condition,Closed,2336,,,2.1999143835616438
2012,STATEN ISLAND,snow,Closed,149,,,1.2080536912751678
2012,STATEN ISLAND,Standpipe - Mechanical,Closed,1,,,6.0000000000000000
2012,STATEN ISLAND,Sweeping Complaint,Closed,10,,,2.4000000000000000
2012,STATEN ISLAND,Vacant Lot,Closed,485,,,22.6742268041237113
2012,STATEN ISLAND,Vacant Lot,Open,2,3522.5000000000000000,,
2012,Unspecified,Collection Truck Noise,Closed,1,,,0.00000000000000000000
2012,Unspecified,Derelict Bicycle,Closed,1,,,2.0000000000000000
2012,Unspecified,Dirty Conditions,Closed,30,,,2.6666666666666667
2012,Unspecified,Litter Basket Complaint,Closed,11,,,1.0909090909090909
2012,Unspecified,Missed Collection,Closed,9,,,1.2222222222222222
2012,Unspecified,Other Enforcement,Closed,4,,,1.2500000000000000
2012,Unspecified,Overflowing Litter Baskets,Closed,4,,,1.5000000000000000
2012,Unspecified,Recycling Enforcement,Closed,1,,,1.00000000000000000000
2012,Unspecified,Sanitation Condition,Closed,101,,,1.6336633663366337
2012,Unspecified,Sweeping Complaint,Closed,5,,,1.8000000000000000
2012,Unspecified,Vacant Lot,Closed,14,,,31.0714285714285714
2012,,Derelict Vehicles,Closed,301,,,1.5714285714285714
2013,BRONX,Adopt-A-Basket,Closed,5,,,1.6000000000000000
2013,BRONX,Collection Truck Noise,Closed,5,,,1.00000000000000000000
2013,BRONX,Derelict Bicycle,Closed,5,,,2.6000000000000000
2013,BRONX,Derelict Vehicles,Closed,1610,,,1.2354037267080745
2013,BRONX,Dirty Conditions,Closed,4634,,,3.6629261976694001
2013,BRONX,Graffiti,Closed,2568,,,97.2348130841121495
2013,BRONX,Graffiti,Open,438,3255.7168949771689498,2584.8695652173913043,
2013,BRONX,Litter Basket Complaint,Closed,201,,,1.6517412935323383
2013,BRONX,Missed Collection,Closed,969,,,1.3787409700722394
2013,BRONX,Missed Collection,Open,2,3160.5000000000000000,,
2013,BRONX,Other Enforcement,Closed,372,,,1.7956989247311828
2013,BRONX,Overflowing Litter Baskets,Closed,98,,,1.2142857142857143
2013,BRONX,Recycling Enforcement,Closed,85,,,2.9176470588235294
2013,BRONX,Sanitation Condition,Closed,2856,,,1.3511904761904762
2013,BRONX,snow,Closed,417,,,1.3357314148681055
2013,BRONX,Sweeping Complaint,Closed,102,,,1.1960784313725490
2013,BRONX,Vacant Lot,Closed,258,,,29.9534883720930233
2013,BRONX,Vacant Lot,Open,3,3196.3333333333333333,,
2013,BROOKLYN,Adopt-A-Basket,Closed,10,,,3.1000000000000000
2013,BROOKLYN,Collection Truck Noise,Closed,36,,,1.4166666666666667
2013,BROOKLYN,Derelict Bicycle,Closed,345,,,2.0086956521739130
2013,BROOKLYN,Derelict Vehicles,Closed,4509,,,1.4517631403858949
2013,BROOKLYN,Dirty Conditions,Closed,9766,,,7.2711447880401393
2013,BROOKLYN,Graffiti,Closed,4307,,,110.6891107499419550
2013,BROOKLYN,Graffiti,Open,570,3246.8719298245614035,2934.7555555555555556,
2013,BROOKLYN,Litter Basket Complaint,Closed,953,,,1.7660020986358867
2013,BROOKLYN,Missed Collection,Closed,4686,,,1.6517285531370038
2013,BROOKLYN,Other Enforcement,Closed,1757,,,5.6488332384746727
2013,BROOKLYN,Overflowing Litter Baskets,Closed,325,,,1.3753846153846154
2013,BROOKLYN,Recycling Enforcement,Closed,245,,,8.7102040816326531
2013,BROOKLYN,Sanitation Condition,Closed,9631,,,1.6443775308898349
2013,BROOKLYN,snow,Closed,690,,,3.0202898550724638
2013,BROOKLYN,Sweeping Complaint,Closed,796,,,1.9334170854271357
2013,BROOKLYN,Vacant Lot,Closed,929,,,38.9817007534983854
2013,BROOKLYN,Vacant Lot,Open,7,3166.0000000000000000,,
2013,MANHATTAN,Adopt-A-Basket,Closed,18,,,1.8333333333333333
2013,MANHATTAN,Collection Truck Noise,Closed,54,,,1.3148148148148148
2013,MANHATTAN,Derelict Bicycle,Closed,343,,,1.5568513119533528
2013,MANHATTAN,Derelict Vehicles,Closed,295,,,1.4033898305084746
2013,MANHATTAN,Dirty Conditions,Closed,4975,,,5.1790954773869347
2013,MANHATTAN,Graffiti,Closed,2384,,,121.4244966442953020
2013,MANHATTAN,Graffiti,Open,175,3235.0571428571428571,2968.2857142857142857,
2013,MANHATTAN,Litter Basket Complaint,Closed,709,,,1.2595204513399154
2013,MANHATTAN,Missed Collection,Closed,1424,,,0.96067415730337078652
2013,MANHATTAN,Other Enforcement,Closed,1222,,,3.2446808510638298
2013,MANHATTAN,Overflowing Litter Baskets,Closed,284,,,1.0704225352112676
2013,MANHATTAN,Recycling Enforcement,Closed,308,,,5.8733766233766234
2013,MANHATTAN,Sanitation Condition,Closed,2129,,,0.98168154062940347581
2013,MANHATTAN,snow,Closed,357,,,1.9327731092436975
2013,MANHATTAN,Sweeping Complaint,Closed,175,,,1.7371428571428571
2013,MANHATTAN,Vacant Lot,Closed,98,,,41.8163265306122449
2013,MANHATTAN,Vacant Lot,Open,3,3067.6666666666666667,,
2013,QUEENS,Adopt-A-Basket,Closed,15,,,2.2000000000000000
2013,QUEENS,Collection Truck Noise,Closed,31,,,1.3548387096774194
2013,QUEENS,Derelict Bicycle,Closed,75,,,2.1066666666666667
2013,QUEENS,Derelict Vehicles,Closed,3942,,,0.97539320142059868087
2013,QUEENS,Dirty Conditions,Closed,11140,,,5.2350987432675045
2013,QUEENS,Graffiti,Closed,2054,,,98.8588120740019474
2013,QUEENS,Graffiti,Open,458,3242.3646288209606987,3145.0000000000000000,
2013,QUEENS,Litter Basket Complaint,Closed,574,,,1.5400696864111498
2013,QUEENS,Litter Basket Complaint,Open,1,3155.0000000000000000,,
2013,QUEENS,Missed Collection,Closed,5716,,,1.4972008397480756
2013,QUEENS,Missed Collection,Open,2,3094.5000000000000000,,
2013,QUEENS,Other Enforcement,Closed,1454,,,3.0144429160935351
2013,QUEENS,Other Enforcement,Open,1,3141.0000000000000000,,
2013,QUEENS,Overflowing Litter Baskets,Closed,249,,,1.0441767068273092
2013,QUEENS,Recycling Enforcement,Closed,153,,,4.4509803921568627
2013,QUEENS,Sanitation Condition,Closed,7831,,,1.3939471331886094
2013,QUEENS,Sanitation Condition,Open,4,3139.7500000000000000,,
2013,QUEENS,snow,Closed,611,,,1.9247135842880524
2013,QUEENS,Sweeping Complaint,Closed,366,,,1.6038251366120219
2013,QUEENS,Vacant Lot,Closed,598,,,35.8762541806020067
2013,QUEENS,Vacant Lot,Open,2,3276.0000000000000000,,
2013,STATEN ISLAND,Adopt-A-Basket,Closed,4,,,6.5000000000000000
2013,STATEN ISLAND,Collection Truck Noise,Closed,11,,,2.0000000000000000
2013,STATEN ISLAND,Derelict Bicycle,Closed,2,,,1.00000000000000000000
2013,STATEN ISLAND,Derelict Vehicles,Closed,547,,,1.9250457038391225
