year,complaint_type,count,avg,avg,avg
2021,DSNY Spillage,1,,,3.0000000000000000
2021,Dumpster Complaint,453,146.7187500000000000,,-94.5558194774346793
2021,Graffiti,4386,218.4110024449877751,55.8006271230729031,128.5101351351351351
2021,Illegal Dumping,6141,169.9375000000000000,,10.0987755102040816
2021,Illegal Posting,672,,,5.8958333333333333
2021,Incorrect Data,69,,,8.4057971014492754
2021,Institution Disposal Complaint,33,,,4.4242424242424242
2021,Litter Basket Complaint,1452,,,11.7734159779614325
2021,Lot Condition,445,178.1298701298701299,,67.3070652173913043
2021,Missed Collection,75322,192.9000000000000000,,6.8610424802741691
2021,Obstruction,1700,183.5333333333333333,,12.2368580060422961
2021,Other Enforcement,706,232.0000000000000000,,4.0510638297872340
2021,Overflowing Litter Baskets,11,,,2.2727272727272727
2021,Recycling Basket Complaint,3,,,8.0000000000000000
2021,Recycling Enforcement,197,,,3.1827411167512690
2021,Residential Disposal Complaint,2222,,,5.6948694869486949
2021,Retailer Complaint,7,,,5.4285714285714286
2021,Sanitation Condition,2709,232.3333333333333333,,3.7671840354767184
2021,Sanitation Worker or Vehicle Complaint,682,159.2500000000000000,,13.3525073746312684
2021,Seasonal Collection,146,,,141.0205479452054795
2021,snow,8227,452.9621594349142281,,6.4373098478783026
2021,Storm,3005,,,1.2888519134775374
2021,Sweeping Complaint,1518,,,15.1324110671936759
2021,Transfer Station Complaint,11,,,4.8181818181818182
2021,Vacant Lot,92,323.7941176470588235,,31.7068965517241379
2022,Abandoned Bike,449,14.1864406779661017,,8.8256410256410256
2022,Commercial Disposal Complaint,262,6.8750000000000000,,4.2804878048780488
2022,Dead Animal,2650,4.6388888888888889,,4.0131683958499601
2022,Derelict Vehicles,15166,44.2135135135135135,,1.38264245112990433939
2022,Dirty Conditions,12624,14.2290640394088670,,4.2007693566868555
2022,Dumpster Complaint,509,45.2435897435897436,,6.0580046403712297
2022,Graffiti,7315,67.3118294552041243,-23.2171633967350607,57.7173913043478261
2022,Illegal Dumping,7349,16.2434367541766110,,4.9884559884559885
2022,Illegal Posting,708,4.3055555555555556,,3.8288690476190476
2022,Incorrect Data,39,19.0000000000000000,,5.1578947368421053
2022,Institution Disposal Complaint,18,14.0000000000000000,,4.0000000000000000
2022,Litter Basket Complaint,1311,14.3600000000000000,,8.0445912469033856
2022,Lot Condition,343,65.7000000000000000,,6.1048951048951049
2022,Missed Collection,13986,7.9534368070953437,,6.1355854478752675
2022,Obstruction,2721,9.6770833333333333,,3.8472380952380952
2022,Oil or Gas Spill,1,,,15.0000000000000000
2022,Recycling Basket Complaint,26,5.6666666666666667,,7.3043478260869565
2022,Residential Disposal Complaint,2327,4.7333333333333333,,3.8414742451154529
2022,Retailer Complaint,6,,,8.0000000000000000
2022,Sanitation Worker or Vehicle Complaint,796,21.0459770114942529,,7.1029619181946403
2022,Seasonal Collection,184,,,7.7391304347826087
2022,snow,5373,92.0714285714285714,,4.1317409964545624
2022,Sweeping Complaint,1569,11.2673267326732673,,9.1791553133514986
2022,Transfer Station Complaint,1,,,1.00000000000000000000
