year,borough,community_board,complaint_type,status_cal,count,avg,avg,avg
2010,BROOKLYN,302,Sanitation Condition,Closed,375,,,1.4080000000000000
2010,BROOKLYN,302,snow,Closed,129,,,5.4496124031007752
2010,BROOKLYN,302,Sweeping Complaint,Closed,28,,,1.1428571428571429
2010,BROOKLYN,302,Vacant Lot,Closed,33,,,24.3636363636363636
2010,BROOKLYN,302,Vacant Lot,Open,1,4442.0000000000000000,,
2010,BROOKLYN,303,Derelict Bicycle,Closed,1,,,1.00000000000000000000
2010,BROOKLYN,303,Derelict Vehicles,Closed,159,,,2.3333333333333333
2010,BROOKLYN,303,Dirty Conditions,Closed,766,,,4.5000000000000000
2010,BROOKLYN,303,Graffiti,Closed,510,,,79.3764705882352941
2010,BROOKLYN,303,Graffiti,Open,17,4328.9411764705882353,-78.0000000000000000,
2010,BROOKLYN,303,Litter Basket Complaint,Closed,92,,,1.5108695652173913
2010,BROOKLYN,303,Missed Collection,Closed,313,,,1.1501597444089457
2010,BROOKLYN,303,Other Enforcement,Closed,93,,,4.9354838709677419
2010,BROOKLYN,303,Overflowing Litter Baskets,Closed,15,,,0.93333333333333333333
2010,BROOKLYN,303,Recycling Enforcement,Closed,28,,,5.8571428571428571
2010,BROOKLYN,303,Sanitation Condition,Closed,697,,,1.1291248206599713
2010,BROOKLYN,303,snow,Closed,205,,,3.9902439024390244
2010,BROOKLYN,303,Sweeping Complaint,Closed,29,,,0.93103448275862068966
2010,BROOKLYN,303,Vacant Lot,Closed,78,,,21.1923076923076923
2010,BROOKLYN,303,Vacant Lot,Open,9,4321.0000000000000000,,
2010,BROOKLYN,304,Adopt-A-Basket,Closed,1,,,9.0000000000000000
2010,BROOKLYN,304,Collection Truck Noise,Closed,1,,,0.00000000000000000000
2010,BROOKLYN,304,Derelict Bicycle,Closed,1,,,1.00000000000000000000
2010,BROOKLYN,304,Derelict Vehicles,Closed,137,,,1.9051094890510949
2010,BROOKLYN,304,Dirty Conditions,Closed,517,,,4.0522243713733075
2010,BROOKLYN,304,Graffiti,Closed,308,,,92.3538961038961039
2010,BROOKLYN,304,Graffiti,Open,11,4298.9090909090909091,1994.0000000000000000,
2010,BROOKLYN,304,Litter Basket Complaint,Closed,57,,,2.3508771929824561
2010,BROOKLYN,304,Missed Collection,Closed,119,,,1.6974789915966387
2010,BROOKLYN,304,Other Enforcement,Closed,48,,,4.8958333333333333
2010,BROOKLYN,304,Overflowing Litter Baskets,Closed,13,,,0.69230769230769230769
2010,BROOKLYN,304,Recycling Enforcement,Closed,20,,,7.4000000000000000
2010,BROOKLYN,304,Sanitation Condition,Closed,443,,,1.6749435665914221
2010,BROOKLYN,304,snow,Closed,68,,,4.9558823529411765
2010,BROOKLYN,304,Sweeping Complaint,Closed,34,,,1.4411764705882353
2010,BROOKLYN,304,Vacant Lot,Closed,31,,,25.5483870967741935
