year,borough,community_board,count,avg,avg,avg
2016,MANHATTAN,112,1545,2113.8500000000000000,1959.5714285714285714,30.4236065573770492
2016,MANHATTAN,164,2,,,3.0000000000000000
2016,MANHATTAN,208,17,,,9.2941176470588235
2016,MANHATTAN,,324,2116.0250000000000000,1887.0000000000000000,51.6762295081967213
2016,QUEENS,401,3061,2073.6000000000000000,2033.2000000000000000,16.5283513602097673
2016,QUEENS,402,2127,2069.0000000000000000,1881.0000000000000000,11.5186057465850212
2016,QUEENS,403,2266,2053.1428571428571429,1881.0000000000000000,15.5639663567950421
2016,QUEENS,404,1627,2197.5000000000000000,,10.8496611213801602
2016,QUEENS,405,4200,2057.5000000000000000,1881.0000000000000000,5.4082459485224023
2016,QUEENS,406,1654,2111.3333333333333333,2156.0000000000000000,5.4209569957601454
2016,QUEENS,407,4791,2121.6666666666666667,2003.0000000000000000,6.8489223686963800
2016,QUEENS,408,2791,,,5.0462199928341096
2016,QUEENS,409,3899,2024.5000000000000000,1881.0000000000000000,6.2686682063125481
2016,QUEENS,410,5707,2016.0000000000000000,1948.0000000000000000,3.4584647739221872
2016,QUEENS,411,2163,2158.4000000000000000,,6.1844300278035218
2016,QUEENS,412,7784,1996.0000000000000000,1881.0000000000000000,4.7024421593830334
2016,QUEENS,413,4262,,,4.3676677616142656
2016,QUEENS,414,1556,2062.0000000000000000,2035.0000000000000000,6.1217783505154639
2016,QUEENS,480,1,,,1.00000000000000000000
2016,QUEENS,481,4,,,1.5000000000000000
2016,QUEENS,482,2,,,1.5000000000000000
2016,QUEENS,484,3,,,1.3333333333333333
2016,QUEENS,,580,2059.1740740740740741,1660.5000000000000000,-11.2935483870967742
2016,STATEN ISLAND,501,7236,2132.3333333333333333,,6.2637621023513140
2016,STATEN ISLAND,502,5037,2215.8571428571428571,2221.0000000000000000,5.1083499005964215
2016,STATEN ISLAND,503,6061,2002.2500000000000000,1881.0000000000000000,4.8618866677680489
2016,STATEN ISLAND,595,12,,,1.3333333333333333
2016,STATEN ISLAND,,103,2186.3750000000000000,,6.6526315789473684
2016,,,521,,,1.2687140115163148
2017,BRONX,201,1730,1786.4634146341463415,1805.6666666666666667,21.4251036116044997
2017,BRONX,202,1159,1793.2368421052631579,1807.2000000000000000,19.8019625334522748
2017,BRONX,203,1492,1738.4761904761904762,1643.0000000000000000,13.3670972127804215
2017,BRONX,204,1531,1835.0769230769230769,1845.9090909090909091,18.9825737265415550
2017,BRONX,205,1123,1859.2916666666666667,1813.1764705882352941,22.0054595086442220
2017,BRONX,206,1634,1836.4137931034482759,1804.4500000000000000,15.8180685358255452
2017,BRONX,207,1319,1838.0000000000000000,1793.1818181818181818,11.7824750192159877
2017,BRONX,208,1280,1827.2222222222222222,1787.3333333333333333,6.3296616837136113
2017,BRONX,209,2874,1718.2439024390243902,1685.2000000000000000,13.5495940698905754
2017,BRONX,210,3157,1755.6153846153846154,1830.0000000000000000,4.5791984732824427
2017,BRONX,211,2759,1785.1666666666666667,1796.8571428571428571,7.2344375682562796
2017,BRONX,212,4883,1705.2222222222222222,1702.0000000000000000,7.1514156750102585
2017,BRONX,226,8,,,5.7500000000000000
2017,BRONX,227,4,,,1.7500000000000000
2017,BRONX,228,2,,,2.5000000000000000
2017,BRONX,401,889,,,0.61417322834645669291
2017,BRONX,,689,1707.3491124260355030,,3.0480769230769231
2017,BROOKLYN,301,6546,1774.2352941176470588,1773.4705882352941176,12.1813574938574939
2017,BROOKLYN,302,3390,1784.0909090909090909,1766.1111111111111111,11.1071852731591449
2017,BROOKLYN,303,6229,1806.0322580645161290,1817.6666666666666667,11.0261374636979671
2017,BROOKLYN,304,3844,1815.5526315789473684,1821.6956521739130435,20.3039936941671046
2017,BROOKLYN,305,7426,1736.2000000000000000,1720.8695652173913043,12.7779582994855131
2017,BROOKLYN,306,7540,1758.2666666666666667,1735.7777777777777778,10.2337541528239203
2017,BROOKLYN,307,3588,1841.7352941176470588,1806.8387096774193548,26.0340461451885200
2017,BROOKLYN,308,3076,1790.8076923076923077,1768.0000000000000000,9.2498360655737705
2017,BROOKLYN,309,2216,1704.5000000000000000,1739.5000000000000000,13.0426110607434270
2017,BROOKLYN,310,8953,1774.3333333333333333,1753.4285714285714286,5.9088774597495528
2017,BROOKLYN,311,5040,1755.4736842105263158,1740.4666666666666667,15.6982672774347739
2017,BROOKLYN,312,6107,1800.2592592592592593,1814.8235294117647059,9.3453947368421053
2017,BROOKLYN,313,1616,1710.6666666666666667,1753.4285714285714286,15.8865203761755486
2017,BROOKLYN,314,3924,1728.7142857142857143,1703.3333333333333333,12.9746803069053708
2017,BROOKLYN,315,5160,1777.8275862068965517,1750.4444444444444444,12.0241668290781524
2017,BROOKLYN,316,2413,1773.6875000000000000,1783.0000000000000000,9.1322486441385065
2017,BROOKLYN,317,5209,1762.5000000000000000,1496.0000000000000000,5.1429394812680115
2017,BROOKLYN,318,8586,1819.4666666666666667,1777.2000000000000000,4.1320732703301832
2017,BROOKLYN,355,14,,,2.3571428571428571
2017,BROOKLYN,356,1,,,8.0000000000000000
2017,BROOKLYN,,1431,1703.3348416289592760,1682.0000000000000000,6.5297520661157025
2017,MANHATTAN,101,798,1783.5000000000000000,1823.3333333333333333,10.2715736040609137
2017,MANHATTAN,102,2740,1780.6842105263157895,1787.2307692307692308,155.4516721793458287
2017,MANHATTAN,103,3693,1785.4000000000000000,1753.5833333333333333,48.5449561403508772
2017,MANHATTAN,104,2845,1796.3333333333333333,1762.0000000000000000,15.6129032258064516
2017,MANHATTAN,105,1860,1732.4285714285714286,1715.6666666666666667,29.6135995682676740
2017,MANHATTAN,106,1344,1745.2727272727272727,1747.0000000000000000,9.9894973743435859
2017,MANHATTAN,107,2521,1818.5000000000000000,1843.0000000000000000,8.4898769352917825
2017,MANHATTAN,108,2269,1813.1111111111111111,1814.8000000000000000,12.2769911504424779
2017,MANHATTAN,109,1377,1797.6000000000000000,1633.7500000000000000,18.8564139941690962
2017,MANHATTAN,110,2425,1793.0000000000000000,1811.6000000000000000,13.4457332228666114
2017,MANHATTAN,111,1250,1780.0769230769230769,1714.1111111111111111,9.6540016168148747
2017,MANHATTAN,112,1835,1737.3571428571428571,1787.6666666666666667,20.3278418451400329
2017,MANHATTAN,164,2,,,3.0000000000000000
2017,MANHATTAN,208,15,,,3.3333333333333333
2017,MANHATTAN,,748,1717.4713375796178344,1720.0000000000000000,3.8730964467005076
2017,QUEENS,401,4570,1778.9200000000000000,1759.4375000000000000,14.3027502750275028
2017,QUEENS,402,2680,1716.5000000000000000,1705.3333333333333333,9.1175149700598802
2017,QUEENS,403,2634,1825.8571428571428571,1657.3333333333333333,6.3357441948991245
2017,QUEENS,404,2075,1745.5833333333333333,1725.7142857142857143,43.0499272903538536
2017,QUEENS,405,12550,1768.6111111111111111,1711.7272727272727273,4.4664857963613150
2017,QUEENS,406,2135,1603.0000000000000000,,7.1030927835051546
2017,QUEENS,407,6405,1768.0000000000000000,1795.6666666666666667,4.6683346364347146
2017,QUEENS,408,4019,1746.2000000000000000,1738.3333333333333333,6.0941704035874439
2017,QUEENS,409,5337,1679.2380952380952381,1679.1428571428571429,11.5995109104589917
2017,QUEENS,410,9705,1724.4000000000000000,1623.5000000000000000,4.5717234262125903
2017,QUEENS,411,6830,1795.5000000000000000,1819.0000000000000000,7.5820633059788980
2017,QUEENS,412,9489,1714.8055555555555556,1675.2307692307692308,8.3447582777954089
2017,QUEENS,413,5793,1755.2000000000000000,1759.0000000000000000,3.7757429163787146
2017,QUEENS,414,2228,1840.0000000000000000,1792.0000000000000000,4.1923423423423423
2017,QUEENS,480,1,,,6.0000000000000000
2017,QUEENS,481,1,,,174.0000000000000000
2017,QUEENS,482,5,,,1.2000000000000000
2017,QUEENS,484,3,1670.0000000000000000,,4.0000000000000000
2017,QUEENS,,1581,1677.4362017804154303,,0.65434083601286173633
2017,STATEN ISLAND,501,11944,1738.6666666666666667,1757.0000000000000000,5.7617092584834520
2017,STATEN ISLAND,502,8499,1793.8000000000000000,1741.0000000000000000,4.6134918766187897
2017,STATEN ISLAND,503,11698,1669.0000000000000000,1323.0000000000000000,3.4877277003335329
2017,STATEN ISLAND,595,8,,,2.7500000000000000
2017,STATEN ISLAND,,555,1772.6000000000000000,,2.0654545454545455
2017,Unspecified,,2,,,1.5000000000000000
2017,,,672,,,1.2306547619047619
2018,BRONX,201,2202,1420.9333333333333333,1405.6666666666666667,14.0672191528545120
2018,BRONX,202,1282,1442.4736842105263158,1293.0000000000000000,18.7189231987331750
2018,BRONX,203,1955,1323.5714285714285714,,15.1772282328696548
2018,BRONX,204,1801,1437.1875000000000000,1411.0000000000000000,19.9114845938375350
2018,BRONX,205,1596,1398.6538461538461538,1461.5000000000000000,28.1063694267515924
2018,BRONX,206,2011,1345.1153846153846154,1328.2500000000000000,14.8010075566750630
2018,BRONX,207,1624,1365.5454545454545455,1322.5000000000000000,13.4290142591444513
2018,BRONX,208,1874,1321.1428571428571429,1302.0000000000000000,9.7686127477236208
